algoritmo,cenario,io_ops,cpu_ops,repeticao,tempo_io,tempo_cpu
round_robin,10,10000,1000000,4,"11,810020","0,000000"
round_robin,10,10000,1000000,5,"11,850000","0,000000"
round_robin,50,10000,1000000,1,"59,782664","0,003333"
round_robin,50,10000,1000000,2,"59,648644","0,003334"
round_robin,50,10000,1000000,3,"59,182664","0,002666"
round_robin,50,10000,1000000,4,"59,510668","0,002667"
round_robin,50,10000,1000000,5,"59,264000","0,003332"
round_robin,100,10000,1000000,1,"108,930980","0,005667"
round_robin,100,10000,1000000,2,"120,269660","0,005334"
round_robin,100,10000,1000000,3,"119,237000","0,005001"
round_robin,100,10000,1000000,4,"118,998640","0,005333"
round_robin,100,10000,1000000,5,"118,564100","0,004332"
round_robin,200,10000,1000000,1,"238,465500","0,012167"
round_robin,200,10000,1000000,2,"237,771650","0,011667"
round_robin,200,10000,1000000,3,"237,234020","0,011667"
round_robin,200,10000,1000000,4,"237,014810","0,012501"
round_robin,200,10000,1000000,5,"236,763680","0,011833"
loteria,10,10000,10000000,1,"20,456680","0,000000"
loteria,10,10000,10000000,2,"20,233380","0,000000"
loteria,10,10000,10000000,3,"20,200000","0,000000"
loteria,10,10000,10000000,4,"20,223360","0,000000"
loteria,10,10000,10000000,5,"20,233320","0,000000"
loteria,50,10000,10000000,1,"104,884080","0,001333"
loteria,50,10000,10000000,2,"106,024040","0,008000"
loteria,50,10000,10000000,3,"104,465240","0,000667"
loteria,50,10000,10000000,4,"104,732680","0,003333"
loteria,50,10000,10000000,5,"105,152680","0,001333"
loteria,100,10000,10000000,1,"209,151300","0,008333"
loteria,100,10000,10000000,2,"210,005320","0,015000"
loteria,100,10000,10000000,3,"210,291720","0,010666"
loteria,100,10000,10000000,4,"209,771960","0,006333"
loteria,100,10000,10000000,5,"210,158300","0,007334"
loteria,200,10000,10000000,1,"428,674990","0,020166"
loteria,200,10000,10000000,2,"429,458850","0,014833"
loteria,200,10000,10000000,3,"430,699310","0,018667"
loteria,200,10000,10000000,4,"430,077320","0,018834"
loteria,200,10000,10000000,5,"430,611140","0,022167"
loteria,10,100000,1000000,1,"211,283200","0,000000"
loteria,10,100000,1000000,2,"218,710200","0,000000"
loteria,10,100000,1000000,3,"213,340200","0,000000"
loteria,10,100000,1000000,4,"213,243400","0,000000"
loteria,10,100000,1000000,5,"215,266800","0,000000"
loteria,50,100000,1000000,1,"1092,370400","0,002667"
loteria,50,100000,1000000,2,"1090,810800","0,009334"
loteria,50,100000,1000000,3,"1090,651600","0,004001"
loteria,50,100000,1000000,4,"1090,283200","0,006001"
loteria,50,100000,1000000,5,"1091,111600","0,007334"
loteria,100,100000,1000000,1,"2182,411400","0,008000"
loteria,100,100000,1000000,2,"2189,372000","0,010000"
loteria,100,100000,1000000,3,"2184,011800","0,009666"
loteria,100,100000,1000000,4,"2188,401800","0,013000"
loteria,100,100000,1000000,5,"2193,352800","0,006666"
loteria,200,100000,1000000,1,"3944,304100","0,018500"
loteria,200,100000,1000000,2,"3622,272700","0,018667"
loteria,200,100000,1000000,3,"3878,122300","0,022834"
loteria,200,100000,1000000,4,"3717,320800","0,026833"
loteria,200,100000,1000000,5,"3677,045900","0,025166"
loteria,10,10000,1000000,1,"20,176660","0,006670"
loteria,10,10000,1000000,2,"20,430020","0,000000"
loteria,10,10000,1000000,3,"20,573340","0,000000"
loteria,10,10000,1000000,4,"20,896660","0,000000"
loteria,10,10000,1000000,5,"20,553340","0,000000"
loteria,50,10000,1000000,1,"106,265320","0,003334"
loteria,50,10000,1000000,2,"105,570600","0,006000"
loteria,50,10000,1000000,3,"105,464040","0,000667"
loteria,50,10000,1000000,4,"106,442120","0,003998"
loteria,50,10000,1000000,5,"104,810720","0,004667"
loteria,100,10000,1000000,1,"211,030720","0,007334"
loteria,100,10000,1000000,2,"213,323580","0,007666"
loteria,100,10000,1000000,3,"221,015360","0,007333"
loteria,100,10000,1000000,4,"257,432660","0,009668"
loteria,100,10000,1000000,5,"227,914300","0,007665"
loteria,200,10000,1000000,1,"412,000820","0,024667"
loteria,200,10000,1000000,2,"373,468350","0,015166"
loteria,200,10000,1000000,3,"432,048300","0,013500"
loteria,200,10000,1000000,4,"434,817520","0,017501"
loteria,200,10000,1000000,5,"386,428510","0,015501"
